ClusterID; BCTs; BasicChanges; Complexity; ProjectCount; Instances; ContainsInstances
0 ; RESERVED:CONDITION:REMOVED:global:falsey:1.0 , RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 2 ; 1 ; 18 ; 26 ; 53760, 30147, 65029, 76810, 117900, 67599, 21970, 112339, 7895, 121817, 112344, 20826, 116378, 131934, 104993, 103714, 109668, 17958, 61035, 113199, 96304, 119863, 12791, 68854, 507, 133692
1 ; RESERVED:ASSIGNMENT_RHS:INSERTED:global:null:1.0 ; 1 ; 1 ; 14 ; 32 ; 72195, 117827, 121219, 123269, 124293, 60102, 31431, 129992, 44943, 59535, 117841, 124951, 128985, 32986, 120027, 35099, 78556, 130268, 4831, 103717, 73060, 98532, 128874, 35055, 82480, 78519, 114359, 114552, 43834, 123258, 132351, 130494
2 ; RESERVED:METHOD_CALL:INSERTED:global:error:1.0 ; 1 ; 1 ; 9 ; 23 ; 102464, 72580, 93316, 6055, 82342, 93574, 33576, 93193, 106921, 103723, 127178, 44877, 73804, 20977, 33585, 71824, 112499, 95988, 66809, 125115, 71834, 124252, 125182
3 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 2 ; 2 ; 43 ; 135 ; 80388, 126217, 8969, 129813, 38423, 69146, 82970, 49948, 68895, 39204, 71973, 122662, 7976, 58152, 85289, 96296, 62762, 78378, 70444, 40499, 110130, 118326, 97338, 125756, 17982, 121918, 126787, 72002, 132932, 118092, 10575, 121938, 12628, 126294, 80729, 103513, 51803, 126300, 34655, 103774, 71777, 80736, 83040, 38244, 102757, 130921, 128363, 59501, 97132, 85361, 112753, 40564, 37493, 60790, 120183, 33911, 111997, 125566, 123520, 19586, 104578, 122757, 80518, 79497, 112520, 71818, 64909, 24718, 25486, 38288, 94355, 88468, 27800, 129176, 60570, 73629, 63390, 46496, 70817, 133538, 68003, 122531, 5795, 82340, 126372, 96937, 8105, 43949, 122544, 118197, 119476, 8119, 80566, 64188, 128957, 114627, 30915, 128708, 61640, 131017, 100808, 20938, 51658, 116171, 57807, 86739, 122835, 43733, 46293, 112340, 32984, 90331, 125403, 129243, 57563, 44765, 69087, 125920, 119779, 112359, 124390, 133098, 25321, 89320, 17386, 57578, 83178, 83436, 132335, 7918, 108785, 92144, 122362, 16380, 34559
4 ; RESERVED:ASSIGNMENT_RHS:REMOVED:global:true:1.0 , RESERVED:CONDITION:REMOVED:global:falsey:1.0 ; 2 ; 2 ; 5 ; 6 ; 34130, 51779, 103778, 116789, 119892, 4092
5 ; RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:STATEMENT:INSERTED:global:var:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 3 ; 5 ; 8 ; 9 ; 106272, 128544, 39636, 65125, 5270, 63927, 121595, 47276, 14334
6 ; RESERVED:STATEMENT:INSERTED:global:var:1.0 , RESERVED:ASSIGNMENT_RHS:INSERTED:global:this:1.0 ; 2 ; 1 ; 7 ; 12 ; 32432, 104113, 25905, 96208, 41586, 104707, 65478, 103800, 32923, 99002, 68797, 110975
7 ; RESERVED:ASSIGNMENT_RHS:INSERTED:global:true:3.0 ; 1 ; 2 ; 7 ; 8 ; 103808, 1331, 35491, 23863, 131707, 103435, 69948, 112671
8 ; RESERVED:METHOD_CALL:INSERTED:global:error:2.0 ; 1 ; 2 ; 5 ; 8 ; 93443, 71554, 103826, 71604, 37883, 76794, 124236, 127087
9 ; RESERVED:STATEMENT:INSERTED:global:var:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:STATEMENT:UPDATED:global:return:1.0 ; 3 ; 3 ; 7 ; 9 ; 24304, 62128, 103841, 75251, 46422, 73623, 129530, 114556, 124207
10 ; METHOD:METHOD_CALL:INSERTED:global:map:1.0 ; 1 ; 3 ; 6 ; 6 ; 76211, 103876, 46504, 4109, 124540, 77630
11 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 1 ; 1 ; 73 ; 758 ; 89091, 44037, 88071, 37895, 59399, 25610, 93194, 57356, 6157, 75788, 103439, 105486, 1040, 103441, 44050, 128020, 129044, 71702, 16408, 93210, 130080, 114723, 7204, 17444, 28709, 35878, 90152, 45100, 27698, 116786, 70709, 59445, 95287, 121911, 128054, 34872, 54328, 34873, 119864, 29756, 128063, 36929, 67651, 26691, 129093, 133190, 28741, 78919, 12359, 70726, 79947, 67661, 79949, 79948, 62542, 126030, 16464, 117840, 133203, 130130, 22613, 41045, 58453, 73812, 106584, 114776, 10330, 89179, 114779, 14427, 130140, 54366, 115807, 78945, 112738, 29796, 71785, 23657, 64617, 84075, 88171, 58475, 82029, 111725, 132207, 1135, 15471, 82032, 55413, 71796, 127095, 63608, 51321, 28797, 49277, 108673, 58497, 32899, 127108, 1158, 32903, 10376, 117897, 49289, 82059, 16524, 50317, 102540, 16526, 7311, 20624, 15506, 72852, 16534, 20630, 129177, 102554, 107674, 92317, 130209, 103587, 111778, 129186, 72869, 129188, 72871, 84135, 79014, 67753, 111785, 9386, 57515, 93354, 57516, 108723, 27828, 29879, 5304, 104633, 130233, 29881, 130235, 125117, 128191, 51391, 57535, 21696, 133313, 126149, 106697, 125128, 80074, 111818, 51404, 16589, 3279, 4306, 24789, 129236, 131287, 102614, 120025, 50393, 64730, 102618, 110810, 122074, 126183, 83174, 58601, 98538, 45292, 82157, 83181, 1265, 106736, 30962, 125173, 129277, 40190, 73986, 110853, 125189, 78086, 114950, 4362, 53515, 46350, 73999, 15631, 93457, 36115, 23830, 131354, 80152, 115992, 96539, 128283, 29981, 66844, 38175, 126238, 132381, 117026, 5412, 88357, 116007, 71976, 89387, 67882, 101674, 81197, 16685, 95535, 106801, 112947, 12595, 27957, 105780, 55606, 66873, 125243, 129341, 14656, 76096, 122179, 76098, 44356, 58692, 88389, 73030, 123206, 81225, 110923, 16716, 36174, 23887, 59727, 110926, 105809, 105810, 67933, 105827, 55651, 63848, 113000, 54636, 127341, 5487, 130414, 96626, 123253, 3446, 110967, 41335, 108921, 15737, 58746, 38267, 94588, 62847, 55681, 58758, 59782, 95623, 124295, 30088, 128393, 62857, 5514, 112014, 57746, 63892, 106901, 106900, 15766, 5529, 55707, 57759, 30112, 125345, 75168, 38306, 129442, 81316, 59814, 56743, 65961, 121257, 101803, 16811, 89517, 119212, 117166, 123313, 8625, 29106, 5555, 58803, 93625, 57785, 41404, 69053, 67007, 81343, 102846, 106942, 24000, 36293, 49606, 129479, 117195, 19915, 28107, 74186, 121293, 82383, 119247, 126415, 39375, 104910, 122321, 128467, 58835, 83410, 10709, 40406, 123351, 70105, 79323, 88538, 129498, 58846, 119263, 129503, 87523, 64995, 76258, 74212, 130532, 68070, 130539, 128490, 40428, 96749, 118252, 58862, 73198, 127470, 119280, 9714, 88564, 77305, 51705, 111099, 122363, 61948, 130556, 17919, 74238, 128513, 129537, 55809, 68096, 96770, 45572, 87556, 79367, 102918, 23048, 127499, 54795, 5644, 46604, 103949, 127500, 79375, 96783, 64015, 125454, 125457, 118291, 12820, 13844, 121365, 107033, 111129, 128537, 125464, 12830, 16927, 14881, 61985, 76323, 76324, 118308, 91686, 77353, 68136, 132648, 127530, 10797, 20017, 116275, 54836, 81461, 93749, 30264, 83513, 122424, 8763, 126529, 108099, 24131, 107077, 13895, 106054, 13899, 63054, 62031, 132688, 13908, 59988, 7767, 55895, 58968, 94808, 120411, 38491, 115292, 124511, 120417, 24162, 133729, 98917, 109156, 123495, 125543, 81513, 53865, 64109, 118390, 22136, 98939, 14971, 116349, 98940, 129660, 60030, 52864, 82560, 66179, 107139, 128643, 60035, 67202, 79492, 121476, 129668, 118407, 60039, 72326, 44680, 60042, 51853, 108175, 70286, 98958, 122513, 126608, 71315, 127634, 33432, 62104, 117400, 111259, 131736, 111258, 120477, 98972, 97950, 30368, 33440, 111265, 131746, 93856, 83623, 110247, 106152, 87722, 106154, 108202, 66220, 42670, 51886, 83633, 62132, 71348, 14006, 84665, 107192, 125624, 120507, 128699, 70330, 120506, 125626, 110268, 97983, 93886, 58049, 8899, 58051, 63172, 61125, 106185, 31433, 86731, 24268, 129741, 26317, 15054, 114382, 128718, 13011, 95954, 117458, 120535, 128727, 92886, 119510, 104153, 126683, 60123, 93914, 42716, 47840, 120545, 65249, 124640, 5858, 79588, 104167, 81638, 106214, 111339, 87789, 47854, 48878, 79599, 61167, 87793, 126705, 106224, 127731, 756, 121588, 44791, 760, 56058, 65275, 31484, 24318, 89855, 60159, 118526, 104195, 31491, 50949, 88836, 123654, 127753, 119562, 89869, 57101, 116495, 119567, 6934, 125719, 16152, 108315, 80668, 6942, 79646, 119587, 117538, 119586, 56101, 59174, 124714, 125738, 13100, 40750, 124721, 131890, 22323, 7989, 13110, 123707, 113468, 124732, 13120, 94017, 118593, 121665, 125767, 86857, 121673, 60233, 126792, 79691, 56139, 59211, 118602, 40780, 54092, 68429, 86861, 88908, 126796, 130892, 59214, 40787, 99159, 59225, 82779, 62300, 67421, 82785, 128868, 107367, 28520, 55144, 64360, 132970, 132971, 119659, 14188, 25454, 119664, 130928, 88950, 122745, 126841, 127864, 129912, 63359, 9088, 94081, 51074, 6019, 32643, 122754, 85892, 61318, 108423, 103305, 130953, 5001, 117643, 123786, 34701, 70542, 106382, 125841, 50066, 88979, 79762, 50068, 96149, 43925, 90007, 59288, 37788, 120732, 71582, 125854, 67488, 14242, 96163, 126882, 58279, 124841, 94120, 126890, 20400, 40880, 59313, 33717, 130999, 71606, 83899, 33723, 96186, 73661, 107452, 58302, 65471, 75710, 127934, 120769, 37825, 99264, 113600, 18370, 43970, 5059, 24517, 77764, 10182, 54214, 78791, 37833, 58315, 118732, 129999, 114638, 33744, 70608, 58322, 97235, 127955, 117716, 123860, 21462, 101335, 123864, 130008, 90074, 133081, 58332, 115677, 92124, 53215, 65504, 34785, 106464, 60386, 62434, 58340, 85989, 128996, 129001, 59370, 91117, 122863, 23540, 129013, 78838, 87033, 102393, 112633, 123897, 1017, 12281, 119800, 18426, 132089
12 ; RESERVED:ARGUMENT:INSERTED:global:true:1.0 , RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 2 ; 2 ; 6 ; 7 ; 103953, 51505, 76770, 130821, 71193, 46523, 98190
