ID;Centers;Distance;TotalCluster_Charles;Iterations_Charles;Jaccard_Charles;Rand_Charles;TotalCluster_Hanam;Iterations_Hanam;Jaccard_Hanam;Rand_Hanam;Has_Result_Diff
1;2;euclidean;2;47;0.453551912568306;0.692307692307692;2;20;0.453551912568306;0.692307692307692;FALSE
29;2;euclidean;2;17;0.453551912568306;0.692307692307692;2;26;0.453551912568306;0.692307692307692;FALSE
57;2;euclidean;2;17;0.453551912568306;0.692307692307692;2;31;0.453551912568306;0.692307692307692;FALSE
85;2;euclidean;2;22;0.453551912568306;0.692307692307692;2;17;0.453551912568306;0.692307692307692;FALSE
113;2;euclidean;2;24;0.453551912568306;0.692307692307692;2;32;0.453551912568306;0.692307692307692;FALSE
141;2;euclidean;2;28;0.453551912568306;0.692307692307692;2;24;0.453551912568306;0.692307692307692;FALSE
169;2;euclidean;2;16;0.453551912568306;0.692307692307692;2;32;0.453551912568306;0.692307692307692;FALSE
197;2;euclidean;2;18;0.453551912568306;0.692307692307692;2;29;0.453551912568306;0.692307692307692;FALSE
225;2;euclidean;2;25;0.453551912568306;0.692307692307692;2;17;0.453551912568306;0.692307692307692;FALSE
253;2;euclidean;2;26;0.453551912568306;0.692307692307692;2;17;0.453551912568306;0.692307692307692;FALSE
15;2;manhattan;1;100;0.338461538461538;0.338461538461538;2;3;0.444954128440367;0.627692307692308;TRUE
43;2;manhattan;2;1;0.420212765957447;0.664615384615385;2;1;0.420212765957447;0.664615384615385;FALSE
71;2;manhattan;2;1;0.420212765957447;0.664615384615385;2;2;0.420212765957447;0.664615384615385;FALSE
99;2;manhattan;2;1;0.420212765957447;0.664615384615385;2;1;0.420212765957447;0.664615384615385;FALSE
127;2;manhattan;2;1;0.420212765957447;0.664615384615385;2;2;0.420212765957447;0.664615384615385;FALSE
155;2;manhattan;2;1;0.420212765957447;0.664615384615385;1;100;0.338461538461538;0.338461538461538;TRUE
183;2;manhattan;2;2;0.420212765957447;0.664615384615385;2;1;0.444954128440367;0.627692307692308;TRUE
211;2;manhattan;2;1;0.420212765957447;0.664615384615385;1;100;0.338461538461538;0.338461538461538;TRUE
239;2;manhattan;2;2;0.420212765957447;0.664615384615385;2;1;0.420212765957447;0.664615384615385;FALSE
267;2;manhattan;1;100;0.338461538461538;0.338461538461538;2;1;0.420212765957447;0.664615384615385;TRUE
2;3;euclidean;3;32;0.401273885350318;0.710769230769231;3;28;0.401273885350318;0.710769230769231;FALSE
30;3;euclidean;3;24;0.401273885350318;0.710769230769231;3;28;0.401273885350318;0.710769230769231;FALSE
58;3;euclidean;3;29;0.401273885350318;0.710769230769231;3;24;0.401273885350318;0.710769230769231;FALSE
86;3;euclidean;3;21;0.401273885350318;0.710769230769231;3;29;0.401273885350318;0.710769230769231;FALSE
114;3;euclidean;3;27;0.401273885350318;0.710769230769231;3;24;0.401273885350318;0.710769230769231;FALSE
142;3;euclidean;3;20;0.401273885350318;0.710769230769231;3;29;0.401273885350318;0.710769230769231;FALSE
170;3;euclidean;3;24;0.401273885350318;0.710769230769231;3;29;0.401273885350318;0.710769230769231;FALSE
198;3;euclidean;3;25;0.401273885350318;0.710769230769231;3;29;0.401273885350318;0.710769230769231;FALSE
226;3;euclidean;3;19;0.401273885350318;0.710769230769231;3;31;0.401273885350318;0.710769230769231;FALSE
254;3;euclidean;3;27;0.401273885350318;0.710769230769231;3;16;0.401273885350318;0.710769230769231;FALSE
16;3;manhattan;3;0;0.465346534653465;0.667692307692308;3;1;0.423580786026201;0.593846153846154;TRUE
44;3;manhattan;2;3;0.420212765957447;0.664615384615385;2;1;0.420212765957447;0.664615384615385;FALSE
72;3;manhattan;3;3;0.420212765957447;0.664615384615385;3;1;0.554054054054054;0.796923076923077;TRUE
100;3;manhattan;3;0;0.375;0.630769230769231;3;2;0.451428571428571;0.704615384615385;TRUE
128;3;manhattan;3;1;0.62987012987013;0.824615384615385;3;1;0.451428571428571;0.704615384615385;TRUE
156;3;manhattan;3;1;0.554054054054054;0.796923076923077;3;1;0.465346534653465;0.667692307692308;TRUE
184;3;manhattan;3;1;0.32967032967033;0.624615384615385;2;2;0.25;0.492307692307692;TRUE
212;3;manhattan;1;100;0.338461538461538;0.338461538461538;2;1;0.464135021097046;0.609230769230769;TRUE
240;3;manhattan;2;1;0.444954128440367;0.627692307692308;3;2;0.62987012987013;0.824615384615385;TRUE
268;3;manhattan;3;2;0.580838323353293;0.784615384615385;3;1;0.580838323353293;0.784615384615385;FALSE
3;4;euclidean;4;80;0.373134328358209;0.741538461538462;4;34;0.4;0.723076923076923;TRUE
31;4;euclidean;4;82;0.333333333333333;0.716923076923077;4;40;0.4;0.723076923076923;TRUE
59;4;euclidean;4;75;0.373134328358209;0.741538461538462;4;62;0.307142857142857;0.701538461538462;TRUE
87;4;euclidean;4;35;0.373134328358209;0.741538461538462;4;100;0.375;0.738461538461539;TRUE
115;4;euclidean;4;100;0.333333333333333;0.716923076923077;4;74;0.373134328358209;0.741538461538462;TRUE
143;4;euclidean;4;26;0.556962025316456;0.784615384615385;4;72;0.307142857142857;0.701538461538462;TRUE
171;4;euclidean;4;21;0.556962025316456;0.784615384615385;4;80;0.373134328358209;0.741538461538462;TRUE
199;4;euclidean;4;24;0.333333333333333;0.716923076923077;4;31;0.307142857142857;0.701538461538462;TRUE
227;4;euclidean;4;65;0.373134328358209;0.741538461538462;4;72;0.307142857142857;0.701538461538462;TRUE
255;4;euclidean;4;73;0.333333333333333;0.716923076923077;4;38;0.4;0.723076923076923;TRUE
17;4;manhattan;4;1;0.418367346938776;0.649230769230769;3;1;0.286384976525822;0.532307692307692;TRUE
45;4;manhattan;4;2;0.450236966824645;0.643076923076923;4;2;0.30718954248366;0.673846153846154;TRUE
73;4;manhattan;3;2;0.31740614334471;0.384615384615385;4;2;0.563380281690141;0.809230769230769;TRUE
101;4;manhattan;4;0;0.264462809917355;0.452307692307692;4;2;0.274853801169591;0.618461538461539;TRUE
129;4;manhattan;4;1;0.607843137254902;0.815384615384615;4;0;0.393258426966292;0.667692307692308;TRUE
157;4;manhattan;4;0;0.309644670050761;0.581538461538462;4;0;0.48;0.76;TRUE
185;4;manhattan;4;0;0.282352941176471;0.624615384615385;4;100;0.353135313531353;0.396923076923077;TRUE
213;4;manhattan;3;2;0.25;0.492307692307692;3;2;0.220183486238532;0.476923076923077;TRUE
241;4;manhattan;4;2;0.365591397849462;0.636923076923077;4;1;0.392712550607287;0.538461538461538;TRUE
269;4;manhattan;4;1;0.521472392638037;0.76;3;1;0.308755760368664;0.538461538461538;TRUE
4;5;euclidean;5;22;0.326241134751773;0.707692307692308;5;34;0.507692307692308;0.803076923076923;TRUE
32;5;euclidean;5;44;0.326241134751773;0.707692307692308;5;21;0.307692307692308;0.695384615384615;TRUE
60;5;euclidean;5;29;0.277372262773723;0.695384615384615;5;45;0.340425531914894;0.713846153846154;TRUE
88;5;euclidean;5;54;0.277372262773723;0.695384615384615;5;35;0.507692307692308;0.803076923076923;TRUE
116;5;euclidean;5;32;0.277372262773723;0.695384615384615;5;32;0.377952755905512;0.756923076923077;TRUE
144;5;euclidean;5;28;0.326241134751773;0.707692307692308;5;29;0.377952755905512;0.756923076923077;TRUE
172;5;euclidean;5;42;0.326241134751773;0.707692307692308;5;46;0.507692307692308;0.803076923076923;TRUE
200;5;euclidean;5;30;0.277372262773723;0.695384615384615;5;20;0.377952755905512;0.756923076923077;TRUE
228;5;euclidean;5;44;0.326241134751773;0.707692307692308;5;38;0.377952755905512;0.756923076923077;TRUE
256;5;euclidean;5;35;0.377952755905512;0.756923076923077;5;21;0.340425531914894;0.713846153846154;TRUE
18;5;manhattan;5;0;0.217194570135747;0.467692307692308;5;1;0.427672955974843;0.72;TRUE
46;5;manhattan;4;2;0.386363636363636;0.667692307692308;5;1;0.38;0.713846153846154;TRUE
74;5;manhattan;5;0;0.5;0.738461538461539;5;0;0.543046357615894;0.787692307692308;TRUE
102;5;manhattan;5;0;0.41875;0.713846153846154;4;2;0.25974025974026;0.473846153846154;TRUE
130;5;manhattan;5;0;0.54;0.787692307692308;5;2;0.815789473684211;0.935384615384615;TRUE
158;5;manhattan;5;2;0.543046357615894;0.787692307692308;5;0;0.358208955223881;0.735384615384615;TRUE
186;5;manhattan;5;0;0.373684210526316;0.633846153846154;5;3;0.407216494845361;0.646153846153846;TRUE
214;5;manhattan;5;0;0.246987951807229;0.615384615384615;5;4;0.503649635036496;0.790769230769231;TRUE
242;5;manhattan;5;0;0.739130434782609;0.907692307692308;5;0;0.453125;0.784615384615385;TRUE
270;5;manhattan;5;1;0.393548387096774;0.710769230769231;5;1;0.597122302158273;0.827692307692308;TRUE
5;6;euclidean;6;41;0.270676691729323;0.701538461538462;6;56;0.290322580645161;0.729230769230769;TRUE
33;6;euclidean;6;23;0.290322580645161;0.729230769230769;6;42;0.634146341463415;0.861538461538462;TRUE
61;6;euclidean;6;32;0.789473684210526;0.926153846153846;6;40;0.319327731092437;0.750769230769231;TRUE
89;6;euclidean;6;21;0.290322580645161;0.729230769230769;6;30;0.319327731092437;0.750769230769231;TRUE
117;6;euclidean;6;29;0.362204724409449;0.750769230769231;6;19;0.313868613138686;0.710769230769231;TRUE
145;6;euclidean;6;29;0.4;0.778461538461538;6;34;0.319327731092437;0.750769230769231;TRUE
173;6;euclidean;6;59;0.270676691729323;0.701538461538462;6;35;0.319327731092437;0.750769230769231;TRUE
201;6;euclidean;6;35;0.300751879699248;0.713846153846154;6;64;0.487394957983193;0.812307692307692;TRUE
229;6;euclidean;6;24;0.290322580645161;0.729230769230769;6;26;0.4;0.778461538461538;TRUE
257;6;euclidean;6;18;0.246268656716418;0.689230769230769;6;31;0.319327731092437;0.750769230769231;TRUE
19;6;manhattan;6;0;0.6;0.852307692307692;6;0;0.5;0.815384615384615;TRUE
47;6;manhattan;6;0;0.434782608695652;0.8;6;1;0.290909090909091;0.52;TRUE
75;6;manhattan;6;1;0.22360248447205;0.615384615384615;6;0;0.330827067669173;0.726153846153846;TRUE
103;6;manhattan;6;1;0.427807486631016;0.670769230769231;6;1;0.448979591836735;0.667692307692308;TRUE
131;6;manhattan;6;0;0.721739130434783;0.901538461538462;6;0;0.244318181818182;0.590769230769231;TRUE
159;6;manhattan;6;0;0.534883720930233;0.815384615384615;6;0;0.626086956521739;0.867692307692308;TRUE
187;6;manhattan;6;0;0.721739130434783;0.901538461538462;6;0;0.358208955223881;0.735384615384615;TRUE
215;6;manhattan;6;0;0.370860927152318;0.707692307692308;6;0;0.261194029850746;0.695384615384615;TRUE
243;6;manhattan;6;0;0.234939759036145;0.609230769230769;6;1;0.482352941176471;0.729230769230769;TRUE
271;6;manhattan;6;1;0.442424242424242;0.716923076923077;6;0;0.367741935483871;0.698461538461538;TRUE
