"","ID","Epsilon","MinPts","TotalCluster_Charles","TotalOutliers_Charles","Jaccard_Charles","Rand_Charles","TotalOutliers_Hanam","TotalCluster_Hanam","Jaccard_Hanam","Rand_Hanam","dirf_Charles_Vs_Hanam"
"1",1,0.1,2,2,17,0.278048780487805,0.544615384615385,17,2,0.278048780487805,0.544615384615385,TRUE
"2",2,0.1,3,2,17,0.278048780487805,0.544615384615385,17,2,0.278048780487805,0.544615384615385,TRUE
"3",3,0.1,4,2,17,0.278048780487805,0.544615384615385,17,2,0.278048780487805,0.544615384615385,TRUE
"4",4,0.1,5,1,21,0.392405063291139,0.556923076923077,21,1,0.392405063291139,0.556923076923077,TRUE
"5",5,0.1,6,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"6",6,0.1,7,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"7",7,0.1,8,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"8",8,0.1,9,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"9",9,0.1,10,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"10",10,0.1,11,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"11",11,0.1,12,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"12",12,0.1,13,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"13",13,0.1,14,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"14",14,0.1,15,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"15",15,0.1,16,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"16",16,0.1,17,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"17",17,0.1,18,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"18",18,0.1,19,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"19",19,0.1,20,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"20",20,0.3,2,2,17,0.278048780487805,0.544615384615385,17,2,0.278048780487805,0.544615384615385,TRUE
"21",21,0.3,3,2,17,0.278048780487805,0.544615384615385,17,2,0.278048780487805,0.544615384615385,TRUE
"22",22,0.3,4,2,17,0.278048780487805,0.544615384615385,17,2,0.278048780487805,0.544615384615385,TRUE
"23",23,0.3,5,1,21,0.392405063291139,0.556923076923077,21,1,0.392405063291139,0.556923076923077,TRUE
"24",24,0.3,6,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"25",25,0.3,7,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"26",26,0.3,8,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"27",27,0.3,9,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"28",28,0.3,10,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"29",29,0.3,11,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"30",30,0.3,12,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"31",31,0.3,13,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"32",32,0.3,14,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"33",33,0.3,15,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"34",34,0.3,16,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"35",35,0.3,17,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"36",36,0.3,18,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"37",37,0.3,19,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"38",38,0.3,20,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"39",39,0.5,2,2,17,0.278048780487805,0.544615384615385,17,2,0.278048780487805,0.544615384615385,TRUE
"40",40,0.5,3,2,17,0.278048780487805,0.544615384615385,17,2,0.278048780487805,0.544615384615385,TRUE
"41",41,0.5,4,2,17,0.278048780487805,0.544615384615385,17,2,0.278048780487805,0.544615384615385,TRUE
"42",42,0.5,5,1,21,0.392405063291139,0.556923076923077,21,1,0.392405063291139,0.556923076923077,TRUE
"43",43,0.5,6,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"44",44,0.5,7,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"45",45,0.5,8,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"46",46,0.5,9,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"47",47,0.5,10,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"48",48,0.5,11,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"49",49,0.5,12,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"50",50,0.5,13,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"51",51,0.5,14,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"52",52,0.5,15,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"53",53,0.5,16,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"54",54,0.5,17,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"55",55,0.5,18,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"56",56,0.5,19,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"57",57,0.5,20,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"58",58,0.7,2,2,17,0.278048780487805,0.544615384615385,17,2,0.278048780487805,0.544615384615385,TRUE
"59",59,0.7,3,2,17,0.278048780487805,0.544615384615385,17,2,0.278048780487805,0.544615384615385,TRUE
"60",60,0.7,4,2,17,0.278048780487805,0.544615384615385,17,2,0.278048780487805,0.544615384615385,TRUE
"61",61,0.7,5,1,21,0.392405063291139,0.556923076923077,21,1,0.392405063291139,0.556923076923077,TRUE
"62",62,0.7,6,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"63",63,0.7,7,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"64",64,0.7,8,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"65",65,0.7,9,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"66",66,0.7,10,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"67",67,0.7,11,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"68",68,0.7,12,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"69",69,0.7,13,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"70",70,0.7,14,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"71",71,0.7,15,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"72",72,0.7,16,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"73",73,0.7,17,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"74",74,0.7,18,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"75",75,0.7,19,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"76",76,0.7,20,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"77",77,0.9,2,2,17,0.278048780487805,0.544615384615385,17,2,0.278048780487805,0.544615384615385,TRUE
"78",78,0.9,3,2,17,0.278048780487805,0.544615384615385,17,2,0.278048780487805,0.544615384615385,TRUE
"79",79,0.9,4,2,17,0.278048780487805,0.544615384615385,17,2,0.278048780487805,0.544615384615385,TRUE
"80",80,0.9,5,1,21,0.392405063291139,0.556923076923077,21,1,0.392405063291139,0.556923076923077,TRUE
"81",81,0.9,6,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"82",82,0.9,7,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"83",83,0.9,8,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"84",84,0.9,9,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"85",85,0.9,10,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"86",86,0.9,11,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"87",87,0.9,12,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"88",88,0.9,13,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"89",89,0.9,14,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"90",90,0.9,15,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"91",91,0.9,16,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"92",92,0.9,17,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"93",93,0.9,18,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"94",94,0.9,19,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"95",95,0.9,20,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"96",96,1.1,2,3,10,0.342465753424658,0.704615384615385,10,3,0.342465753424658,0.704615384615385,TRUE
"97",97,1.1,3,3,10,0.342465753424658,0.704615384615385,10,3,0.342465753424658,0.704615384615385,TRUE
"98",98,1.1,4,2,13,0.30635838150289,0.630769230769231,13,2,0.30635838150289,0.630769230769231,TRUE
"99",99,1.1,5,2,13,0.30635838150289,0.630769230769231,13,2,0.30635838150289,0.630769230769231,TRUE
"100",100,1.1,6,1,18,0.270742358078603,0.486153846153846,18,1,0.270742358078603,0.486153846153846,TRUE
"101",101,1.1,7,1,19,0.253112033195021,0.446153846153846,19,1,0.253112033195021,0.446153846153846,TRUE
"102",102,1.1,8,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"103",103,1.1,9,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"104",104,1.1,10,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"105",105,1.1,11,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"106",106,1.1,12,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"107",107,1.1,13,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"108",108,1.1,14,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"109",109,1.1,15,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"110",110,1.1,16,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"111",111,1.1,17,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"112",112,1.1,18,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"113",113,1.1,19,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"114",114,1.1,20,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"115",115,1.3,2,3,10,0.342465753424658,0.704615384615385,10,3,0.342465753424658,0.704615384615385,TRUE
"116",116,1.3,3,3,10,0.342465753424658,0.704615384615385,10,3,0.342465753424658,0.704615384615385,TRUE
"117",117,1.3,4,2,13,0.30635838150289,0.630769230769231,13,2,0.30635838150289,0.630769230769231,TRUE
"118",118,1.3,5,2,13,0.30635838150289,0.630769230769231,13,2,0.30635838150289,0.630769230769231,TRUE
"119",119,1.3,6,1,18,0.270742358078603,0.486153846153846,18,1,0.270742358078603,0.486153846153846,TRUE
"120",120,1.3,7,1,19,0.253112033195021,0.446153846153846,19,1,0.253112033195021,0.446153846153846,TRUE
"121",121,1.3,8,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"122",122,1.3,9,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"123",123,1.3,10,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"124",124,1.3,11,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"125",125,1.3,12,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"126",126,1.3,13,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"127",127,1.3,14,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"128",128,1.3,15,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"129",129,1.3,16,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"130",130,1.3,17,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"131",131,1.3,18,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"132",132,1.3,19,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"133",133,1.3,20,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"134",134,1.5,2,3,6,0.619047619047619,0.852307692307692,6,3,0.619047619047619,0.852307692307692,TRUE
"135",135,1.5,3,3,6,0.619047619047619,0.852307692307692,6,3,0.619047619047619,0.852307692307692,TRUE
"136",136,1.5,4,2,9,0.574468085106383,0.815384615384615,9,2,0.574468085106383,0.815384615384615,TRUE
"137",137,1.5,5,2,9,0.574468085106383,0.815384615384615,9,2,0.574468085106383,0.815384615384615,TRUE
"138",138,1.5,6,1,14,0.475138121546961,0.707692307692308,14,1,0.475138121546961,0.707692307692308,TRUE
"139",139,1.5,7,1,15,0.398963730569948,0.643076923076923,15,1,0.398963730569948,0.643076923076923,TRUE
"140",140,1.5,8,1,15,0.398963730569948,0.643076923076923,15,1,0.398963730569948,0.643076923076923,TRUE
"141",141,1.5,9,1,15,0.398963730569948,0.643076923076923,15,1,0.398963730569948,0.643076923076923,TRUE
"142",142,1.5,10,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"143",143,1.5,11,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"144",144,1.5,12,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"145",145,1.5,13,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"146",146,1.5,14,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"147",147,1.5,15,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"148",148,1.5,16,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"149",149,1.5,17,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"150",150,1.5,18,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"151",151,1.5,19,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"152",152,1.5,20,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"153",153,1.7,2,3,6,0.619047619047619,0.852307692307692,6,3,0.619047619047619,0.852307692307692,TRUE
"154",154,1.7,3,3,6,0.619047619047619,0.852307692307692,6,3,0.619047619047619,0.852307692307692,TRUE
"155",155,1.7,4,2,9,0.574468085106383,0.815384615384615,9,2,0.574468085106383,0.815384615384615,TRUE
"156",156,1.7,5,2,9,0.574468085106383,0.815384615384615,9,2,0.574468085106383,0.815384615384615,TRUE
"157",157,1.7,6,1,14,0.475138121546961,0.707692307692308,14,1,0.475138121546961,0.707692307692308,TRUE
"158",158,1.7,7,1,15,0.398963730569948,0.643076923076923,15,1,0.398963730569948,0.643076923076923,TRUE
"159",159,1.7,8,1,15,0.398963730569948,0.643076923076923,15,1,0.398963730569948,0.643076923076923,TRUE
"160",160,1.7,9,1,15,0.398963730569948,0.643076923076923,15,1,0.398963730569948,0.643076923076923,TRUE
"161",161,1.7,10,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"162",162,1.7,11,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"163",163,1.7,12,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"164",164,1.7,13,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"165",165,1.7,14,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"166",166,1.7,15,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"167",167,1.7,16,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"168",168,1.7,17,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"169",169,1.7,18,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"170",170,1.7,19,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"171",171,1.7,20,0,26,0.338461538461538,0.338461538461538,26,0,0.338461538461538,0.338461538461538,TRUE
"172",172,1.9,2,1,6,0.4,0.584615384615385,4,2,0.401826484018265,0.596923076923077,FALSE
"173",173,1.9,3,1,6,0.4,0.584615384615385,6,1,0.4,0.584615384615385,TRUE
"174",174,1.9,4,1,6,0.4,0.584615384615385,6,1,0.4,0.584615384615385,TRUE
"175",175,1.9,5,1,6,0.4,0.584615384615385,6,1,0.4,0.584615384615385,TRUE
"176",176,1.9,6,1,6,0.4,0.584615384615385,6,1,0.4,0.584615384615385,TRUE
"177",177,1.9,7,1,6,0.4,0.584615384615385,6,1,0.4,0.584615384615385,TRUE
"178",178,1.9,8,1,8,0.447761194029851,0.658461538461538,8,1,0.447761194029851,0.658461538461538,TRUE
"179",179,1.9,9,1,8,0.447761194029851,0.658461538461538,8,1,0.447761194029851,0.658461538461538,TRUE
"180",180,1.9,10,1,9,0.389162561576355,0.618461538461539,9,1,0.389162561576355,0.618461538461539,TRUE
"181",181,1.9,11,1,9,0.389162561576355,0.618461538461539,9,1,0.389162561576355,0.618461538461539,TRUE
"182",182,1.9,12,1,9,0.389162561576355,0.618461538461539,9,1,0.389162561576355,0.618461538461539,TRUE
"183",183,1.9,13,1,9,0.389162561576355,0.618461538461539,9,1,0.389162561576355,0.618461538461539,TRUE
