ClusterID; BCTs; BasicChanges; Complexity; ProjectCount; Instances; ContainsInstances
0 ; RESERVED:ASSIGNMENT_RHS:INSERTED:global:true:1.0 ; 1 ; 1 ; 2 ; 10 ; 2097, 4913, 3170, 1941, 503, 1224, 3448, 2666, 91, 3163
1 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 ; 1 ; 1 ; 2 ; 5 ; 2738, 2504, 202, 299, 2782
2 ; RESERVED:STATEMENT:INSERTED:global:try:1.0 , RESERVED:EXCEPTION_CATCH:INSERTED:global:error:1.0 ; 2 ; 2 ; 1 ; 6 ; 4064, 2209, 2329, 5482, 4958, 4959
3 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 1 ; 1 ; 2 ; 28 ; 3971, 2757, 2694, 4423, 3976, 2506, 4555, 4496, 4434, 4882, 4691, 4565, 406, 2270, 5216, 2659, 2787, 3107, 676, 5156, 5797, 5158, 2291, 2547, 2421, 1847, 5815, 3896
4 ; RESERVED:CONDITION:INSERTED:global:eq:1.0 ; 1 ; 1 ; 1 ; 11 ; 3249, 5233, 2982, 3062, 2327, 2858, 4362, 4490, 5754, 5083, 4477
5 ; RESERVED:CONDITION:INSERTED:global:undefined:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 2 ; 1 ; 2 ; 8 ; 1090, 531, 3395, 5013, 566, 359, 1757, 2879
6 ; RESERVED:CONDITION:INSERTED:global:falsey:2.0 ; 1 ; 2 ; 1 ; 7 ; 4416, 2454, 2985, 4251, 2750, 4606, 3631
7 ; RESERVED:CONDITION:REMOVED:global:falsey:1.0 ; 1 ; 1 ; 1 ; 5 ; 4209, 3427, 2500, 5814, 5323
8 ; RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 2 ; 2 ; 1 ; 5 ; 3041, 4966, 3353, 4969, 2574
9 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 2 ; 1 ; 1 ; 10 ; 4688, 4548, 4581, 3127, 2728, 3177, 3066, 5517, 4014, 3855
